date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:52	32880/32880	---MCZ	200	added ('OK')	text/html	etag:W/%22632c4475-8070%22	https://new.axilthemes.com/demo/template/etrade/index.html	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/index.html	(from )
12:12:53	22/22	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2010:12:53%20GMT	https://new.axilthemes.com/robots.txt		(from )
12:12:54	1691/1691	---M--	200	added ('OK')	image/png	etag:%2263232315-69b%22	https://new.axilthemes.com/demo/template/etrade/assets/images/favicon.png	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/images/favicon.png	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:12:54	163828/163828	---MCZ	200	added ('OK')	text/css	etag:W/%226229c8c2-27ff4%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/bootstrap.min.css	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:12:55	156666/156666	---MCZ	200	added ('OK')	text/css	etag:W/%2261fd2c82-263fa%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:12:55	3875/3875	---M--	200	added ('OK')	text/css	etag:%2261fd2c82-f23%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.css	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.css	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:12:55	1749/1749	---M--	200	added ('OK')	text/css	etag:%2261fd2c82-6d5%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick.css	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick.css	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:12:56	3166/3166	---M--	200	added ('OK')	text/css	etag:%2261fd2c82-c5e%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick-theme.css	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick-theme.css	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:12:56	17598/17598	---MCZ	200	added ('OK')	text/css	etag:W/%2261fd2c82-44be%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/jquery-ui.min.css	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/jquery-ui.min.css	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:12:56	7509/7509	---M--	200	added ('OK')	text/css	etag:%226229c8c2-1d55%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/sal.css	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/sal.css	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:12:57	6951/6951	---M--	200	added ('OK')	text/css	etag:%2261fd2c82-1b27%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/magnific-popup.css	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/magnific-popup.css	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:12:57	6139/6139	---M--	200	added ('OK')	text/css	etag:%2261fd2c82-17fb%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/base.css	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/vendor/base.css	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:12:58	3600/3600	---M--	200	added ('OK')	image/png	etag:%226320855f-e10%22	https://new.axilthemes.com/demo/template/etrade/assets/images/logo/logo.png	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/images/logo/logo.png	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:12:58	273630/273630	---MCZ	200	added ('OK')	text/css	etag:W/%22632c4475-42cde%22	https://new.axilthemes.com/demo/template/etrade/assets/css/style.min.css	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/css/style.min.css	(from https://new.axilthemes.com/demo/template/etrade/index.html)
12:12:58	3958/3958	---M--	200	added ('OK')	image/png	etag:%22630df729-f76%22	https://new.axilthemes.com/demo/template/etrade/assets/images/preview/html.png	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/assets/images/preview/html.png	(from https://new.axilthemes.com/demo/template/etrade/index.html)
